Posizione;Pettorale;Cognome;Nome;Ateneo;Categoria;Tempo;Punti
1;92;VALDESALICI;ALICE;PADOVA;D0;36.36;387
2;48;RAFFAETA';ROBERTA;CA FOSCARI;D4;38.01;383
3;99;VIDI;CAMILLA;PADOVA;D0;39.74;378
4;71;LATERZA;CECILIA;PADOVA;D2;40.99;374
5;37;MOLLICA;ALESSANDRA;BRESCIA;D5;42.01;369
6;98;ARRÃ;VALENTINA;ANCONA;D0;42.34;365
7;57;TRUCCO;LARA;GENOVA;D4;42.57;360
8;41;CARLI;MAURIZIA;PADOVA;D5;43.11;356
9;72;GIANNETTI;FRANCESCA;FIRENZE;D2;43.62;351
10;30;BREDA;ANNA;PADOVA;D5;44.54;347
11;47;BERGAMO;PAOLA;PADOVA;D5;45.14;343
12;68;MULLER;ILARIA;MILANO STATALE;D3;45.58;338
13;19;BERCHIALLA;LUISA;MILANO BICOCCA;D6;45.62;334
14;69;MATTIOLI;FABIANA;BOLOGNA;D3;45.72;329
15;34;VALENTINO;CRISTINA;MILANO BICOCCA;D5;45.89;325
16;76;MAGLIOCCA;AURORA;MILANO STATALE;D2;45.95;320
17;39;MIGLIO;LAURA;GENOVA;D5;46.61;316
18;15;BOSELLI;ALESSANDRA;PARMA;D6;47.24;311
19;101;STEFANELLI;GIULIA;PADOVA;D0;47.41;307
20;77;PAPETTI;ALESSANDRA;ANCONA;D2;47.55;302
21;73;SORDO;SELENE;TRENTO;D2;47.74;298
22;95;MERIGO;GIULIA;MILANO STATALE;D0;48.02;294
23;94;LUNGHI;EMMA SOFIA;MILANO BICOCCA;D0;48.05;289
24;60;LANFRANCHI;SILVIA;PADOVA;D4;48.10;285
25;80;BARBARANO;MARTA;MILANO BICOCCA;D2;48.22;280
26;83;CARBONI;ELISABETTA;CAGLIARI;D1;48.85;276
27;43;PITTALA';VALERIA;CATANIA;D5;49.46;271
28;24;MARZOLI;IRENE;CAMERINO;D6;49.53;267
29;11;WIESEL;GUDRUN HILDEG;COSENZA;D7;49.75;262
30;78;SEPE;MONICA;FIRENZE;D2;49.92;258
31;26;CIPOLLA;LAURA;MILANO BICOCCA;D6;50.79;254
32;23;LIMBERTI;ALESSIA;GENOVA;D6;50.91;249
33;65;GABRIELE;IRIA;COSENZA;D4;51.39;245
34;54;MOTETTI;PAOLA;BOLOGNA;D4;51.41;240
35;9;TAIUTI;MARIA ALESSANDRA;FIRENZE;D7;51.44;236
36;6;ZAMPONI;SILVIA;CAMERINO;D8;51.98;231
